player,contract_yrs,season
Aaron Holiday,1,2022
Admiral Schofield,1,2022
Amir Coffey,3,2022
Andre Drummond,2,2022
Andre Iguodala,1,2022
Anfernee Simons,4,2022
Anthony Gill,2,2022
Anthony Lamb,1,2022
Arnoldas Kulboka,0,2022
Austin Rivers,1,2022
Avery Bradley,0,2022
Ben McLemore,0,2022
Bismack Biyombo,1,2022
Blake Griffin,1,2022
Bobby Portis,4,2022
Bol Bol,2,2022
Bradley Beal,5,2022
Brandon Goodwin,0,2022
Brodric Thomas,1,2022
Bruce Brown,2,2022
Bruce Brown,1,2022
Bruno Fernando,1,2022
Bryn Forbes,1,2022
CJ Elleby,1,2022
Caleb Martin,3,2022
Carmelo Anthony,0,2022
Carsen Edwards,0,2022
Cassius Winston,0,2022
Chris Boucher,3,2022
Chris Chiozza,1,2022
Cody Martin,4,2022
Collin Sexton,4,2022
D.J. Augustin,0,2022
D.J. Wilson,2,2022
Damian Jones,2,2022
Damion Lee,1,2022
Danilo Gallinari,2,2022
Danuel House Jr.,2,2022
David Duke Jr.,1,2022
David Johnson,1,2022
Davon Reed,2,2022
DeAndre Jordan,1,2022
DeMarcus Cousins,0,2022
Deandre Ayton,4,2022
Delon Wright,2,2022
Dennis Schröder,1,2022
Derrick Jones Jr.,2,2022
Devontae Cacok,1,2022
Dewayne Dedmon,2,2022
Donte DiVincenzo,2,2022
Drew Eubanks,1,2022
Duane Washington Jr.,1,2022
Dwight Howard,0,2022
Ed Davis,0,2022
Elfrid Payton,0,2022
Elijah Hughes,1,2022
Eric Bledsoe,0,2022
Eric Paschall,0,2022
Facundo Campazzo,1,2022
Frank Jackson,1,2022
Frank Kaminsky,1,2022
Gabe York,1,2022
Gabriel Lundberg,0,2022
Gary Clark,0,2022
Gary Payton II,3,2022
Goran Dragić,1,2022
Gorgui Dieng,1,2022
Greg Monroe,0,2022
Hassan Whiteside,0,2022
Ignas Brazdeikis,0,2022
Isaac Bonga,0,2022
Isaiah Hartenstein,2,2022
Isaiah Thomas,0,2022
Ish Wainright,1,2022
JaMychal Green,1,2022
JaVale McGee,3,2022
Jae'Sean Tate,3,2022
Jake Layman,1,2022
Jalen Brunson,4,2022
Jalen Smith,3,2022
James Harden,2,2022
Jamorko Pickett,1,2022
Jared Harper,0,2022
Jarrett Culver,1,2022
Javonte Smart,0,2022
Jay Scrubb,1,2022
Jeremy Lamb,0,2022
Jericho Sims,3,2022
Jevon Carter,2,2022
Joe Ingles,1,2022
Joe Wieskamp,2,2022
John Wall,2,2022
Jordan Nwora,2,2022
Josh Jackson,1,2022
Josh Okogie,1,2022
Juan Toscano-Anderson,1,2022
Juancho Hernangómez,1,2022
Justin Champagnie,2,2022
Jusuf Nurkić,4,2022
KZ Okpala,2,2022
Keljin Blevins,0,2022
Kent Bazemore,0,2022
Kessler Edwards,2,2022
Kevin Knox,2,2022
Kevon Looney,3,2022
Kyle Anderson,2,2022
LaMarcus Aldridge,0,2022
Lance Stephenson,0,2022
Lindell Wigginton,1,2022
Lonnie Walker IV,1,2022
Lou Williams,0,2022
Luca Vildoza,1,2022
Luguentz Dort,5,2022
Luka Garza,0,2022
Luke Kornet,2,2022
Mac McClung,0,2022
Malcolm Hill,1,2022
Malik Fitts,1,2022
Malik Monk,2,2022
Markieff Morris,0,2022
Markus Howard,0,2022
Marvin Bagley III,3,2022
Mason Jones,0,2022
Matt Ryan,1,2022
Matt Thomas,0,2022
Matthew Dellavedova,1,2022
McKinley Wright IV,1,2022
Melvin Frazier,0,2022
Mike Muscala,2,2022
Miles Bridges,0,2022
Mitchell Robinson,4,2022
Mo Bamba,2,2022
Montrezl Harrell,2,2022
Moses Brown,1,2022
Moses Wright,0,2022
Mychal Mulder,1,2022
Myles Powell,0,2022
Nate Hinton,1,2022
Nathan Knight,2,2022
Neemias Queta,1,2022
Nemanja Bjelica,0,2022
Nic Claxton,2,2022
Nicolas Batum,2,2022
Nik Stauskas,0,2022
Otto Porter Jr.,2,2022
P.J. Tucker,3,2022
Patty Mills,2,2022
Paul Millsap,0,2022
Quinndary Weatherspoon,1,2022
RJ Nembhard Jr.,1,2022
Rajon Rondo,0,2022
Raul Neto,1,2022
Rayjon Tucker,1,2022
Ricky Rubio,3,2022
Robert Woodard II,1,2022
Robin Lopez,1,2022
Rodney Hood,0,2022
Rodney McGruder,1,2022
Ryan Arcidiacono,1,2022
Sam Hauser,3,2022
Scottie Lewis,0,2022
Serge Ibaka,1,2022
Sharife Cooper,1,2022
Skylar Mays,1,2022
T.J. Warren,1,2022
Taj Gibson,1,2022
Theo Pinson,1,2022
Thomas Bryant,1,2022
Tomáš Satoranský,0,2022
Tony Snell,0,2022
Trent Forrest,1,2022
Trevelin Queen,1,2022
Tristan Thompson,0,2022
Tyler Cook,1,2022
Tyus Jones,2,2022
Udonis Haslem,1,2022
Victor Oladipo,2,2022
Vlatko Čančar,3,2022
Wayne Ellington,0,2022
Wesley Matthews,1,2022
Xavier Moon,1,2022
Yuta Watanabe,1,2022
Yves Pons,0,2022
Zach LaVine,5,2022
